,scene,timestamp,utime,inst_token,ann_token,ego_pos,object_pos,distance,steering,ego_speed,throttle,brake,future_throttle,future_brake
0,scene-0006,1531884156948944,1531884157388713,vehicle_info,7ba9d78d92914fd5a204d3bc1233bd4e,"[683.173, 1470.356, 0.0]","[683.173, 1470.356, 0.0]",-1.0,-3.6,34.7,0,0,0,0
1,scene-0006,1531884156948944,1531884157388713,37efe5932d7f4084ac8ed3bbb5ed6220,cf16c1629e1a4567b12299ff690b4fa0,"[683.173, 1470.356, 0.0]","[690.236, 1472.951, 0.313]",7.531,-3.6,34.7,0,0,0,0
2,scene-0006,1531884156948944,1531884157388713,23e14d768eab400099c816a3ac0ff041,f2e8009aebbc4b57b7392ed22b253c62,"[683.173, 1470.356, 0.0]","[733.16, 1478.509, 0.882]",50.655,-3.6,34.7,0,0,0,0
3,scene-0006,1531884156948944,1531884157388713,98300b9c4acb4da9a7aecd0084650265,81a58ca596b84dee9eef8bd4bfa5c4a0,"[683.173, 1470.356, 0.0]","[753.811, 1459.166, -2.519]",71.563,-3.6,34.7,0,0,0,0
4,scene-0006,1531884156948944,1531884157388713,56a9802dbe824219992d60debdea6646,1da660badfb046a19c47088ac5587d00,"[683.173, 1470.356, 0.0]","[701.905, 1458.872, -0.088]",21.972,-3.6,34.7,0,0,0,0
5,scene-0006,1531884157448804,1531884157888909,vehicle_info,7cd4d6bcc3ec4969a70ccc2ace6880bc,"[688.094, 1469.66, 0.0]","[688.094, 1469.66, 0.0]",-1.0,-3.5,33.16,0,0,0,0
6,scene-0006,1531884157448804,1531884157888909,98300b9c4acb4da9a7aecd0084650265,84b699dbf42a42198dd31b5560736bc1,"[688.094, 1469.66, 0.0]","[753.664, 1459.233, -2.194]",66.431,-3.5,33.16,0,0,0,0
7,scene-0006,1531884157448804,1531884157888909,23e14d768eab400099c816a3ac0ff041,b98f6039d6ac43fba9266d232dc38e2b,"[688.094, 1469.66, 0.0]","[732.728, 1478.553, 1.244]",45.529,-3.5,33.16,0,0,0,0
8,scene-0006,1531884157949256,1531884158389379,23e14d768eab400099c816a3ac0ff041,783a837510f642d299f2ed0edb0899e9,"[692.803, 1468.983, 0.0]","[732.674, 1478.558, 1.388]",41.028,-5.9,31.7,0,0,0,0
9,scene-0006,1531884157949256,1531884158389379,vehicle_info,f347756c093b4c8b951fac2ec3d94160,"[692.803, 1468.983, 0.0]","[692.803, 1468.983, 0.0]",-1.0,-5.9,31.7,0,0,0,0
10,scene-0006,1531884157949256,1531884158389379,98300b9c4acb4da9a7aecd0084650265,c52ee932c6734518a7332fd16c56cc7a,"[692.803, 1468.983, 0.0]","[753.518, 1459.3, -1.87]",61.51,-5.9,31.7,0,0,0,0
11,scene-0006,1531884158448576,1531884158889259,23e14d768eab400099c816a3ac0ff041,e232867e69f44a7bbe90dc64f055336b,"[697.316, 1468.318, 0.0]","[732.62, 1478.563, 1.533]",36.793,-5.1,30.36,0,0,0,0
12,scene-0006,1531884158448576,1531884158889259,vehicle_info,fa244f31dbf94b8896bc778006e2c959,"[697.316, 1468.318, 0.0]","[697.316, 1468.318, 0.0]",-1.0,-5.1,30.36,0,0,0,0
13,scene-0006,1531884158448576,1531884158889259,98300b9c4acb4da9a7aecd0084650265,87cf97888fb24f5881bd7dfacb245470,"[697.316, 1468.318, 0.0]","[753.372, 1459.366, -1.545]",56.787,-5.1,30.36,0,0,0,0
14,scene-0006,1531884158948988,1531884159388730,23e14d768eab400099c816a3ac0ff041,cd936fb358fb42ad8d2db152174ded9e,"[701.564, 1467.677, 0.0]","[732.575, 1478.568, 1.841]",32.919,-3.8,28.96,0,0,0,0
15,scene-0006,1531884158948988,1531884159388730,98300b9c4acb4da9a7aecd0084650265,4c23c1e23cb0406f94b5e045458407f2,"[701.564, 1467.677, 0.0]","[753.289, 1459.43, -1.545]",52.401,-3.8,28.96,0,0,0,0
