,scene,timestamp,utime,inst_token,ann_token,ego_pos,object_pos,distance,steering,ego_speed,throttle,brake,future_throttle,future_brake,futur_speed,distance_1,ego_speed_1,d_diff_1,s_diff_1,distance_2,ego_speed_2,d_diff_2,s_diff_2,distance_3,ego_speed_3,d_diff_3,s_diff_3,distance_4,ego_speed_4,d_diff_4,s_diff_4,distance_5,ego_speed_5,d_diff_5,s_diff_5
6203,scene-0041,1532401503047048,1532401503633435,5914d9b538ea44b9af49ab70cef66eee,c117fc44c41a4589ab3ddb2b611870f3,"[979.956, 551.599, 0.0]","[961.366, 528.737, 0.84]",29.479,9.2,21.79,0,0,0,0,19.59,33.024,24.08,-3.5450000000000017,-2.289999999999999,36.849000000000004,26.16,-7.3700000000000045,-4.370000000000001,40.898,28.05,-11.419000000000004,-6.260000000000002,45.191,29.73,-15.712000000000003,-7.940000000000001,48.667,30.9,-19.188000000000002,-9.11
6206,scene-0041,1532401503547474,1532401504133346,5914d9b538ea44b9af49ab70cef66eee,b7013092782349c3a72ba086259f8ac3,"[977.724, 549.19, 0.0]","[961.382, 528.766, 0.843]",26.171,7.0,19.59,0,0,0,0,17.45,29.479,21.79,-3.308,-2.1999999999999993,33.024,24.08,-6.8530000000000015,-4.489999999999998,36.849000000000004,26.16,-10.678000000000004,-6.57,40.898,28.05,-14.727000000000004,-8.46,45.191,29.73,-19.020000000000003,-10.14
6212,scene-0041,1532401504047924,1532401504632947,5914d9b538ea44b9af49ab70cef66eee,2bfdde0b69ab4187a9d1a127d59bf9ad,"[975.755, 546.991, 0.0]","[961.399, 528.794, 0.846]",23.193,8.4,17.45,0,0,0,0,15.1,26.171,19.59,-2.977999999999998,-2.1400000000000006,29.479,21.79,-6.285999999999998,-4.34,33.024,24.08,-9.831,-6.629999999999999,36.849000000000004,26.16,-13.656000000000002,-8.71,40.898,28.05,-17.705000000000002,-10.600000000000001
6218,scene-0041,1532401504548339,1532401505133431,5914d9b538ea44b9af49ab70cef66eee,bd8e0032af5b4220ac6293f30818493c,"[974.02, 545.027, 0.0]","[961.416, 528.823, 0.848]",20.546999999999997,8.7,15.1,0,0,0,0,12.92,23.193,17.45,-2.6460000000000043,-2.3499999999999996,26.171,19.59,-5.624000000000002,-4.49,29.479,21.79,-8.932000000000002,-6.6899999999999995,33.024,24.08,-12.477000000000004,-8.979999999999999,36.849000000000004,26.16,-16.302000000000007,-11.06
6224,scene-0041,1532401505048207,1532401505633868,5914d9b538ea44b9af49ab70cef66eee,e36b842e400441469e77415f387cfa2e,"[972.539, 543.311, 0.0]","[961.433, 528.851, 0.851]",18.252,8.7,12.92,0,0,0,0,10.88,20.546999999999997,15.1,-2.294999999999998,-2.1799999999999997,23.193,17.45,-4.9410000000000025,-4.529999999999999,26.171,19.59,-7.9190000000000005,-6.67,29.479,21.79,-11.227,-8.87,33.024,24.08,-14.772000000000002,-11.159999999999998
6237,scene-0041,1532401505548069,1532401506132880,5914d9b538ea44b9af49ab70cef66eee,a3b00fd5cb2e437288cf9d5a5bc42f29,"[971.252, 541.821, 0.0]","[961.406, 528.854, 0.855]",16.304000000000002,8.8,10.88,0,0,0,4,9.04,18.252,12.92,-1.9479999999999968,-2.039999999999999,20.546999999999997,15.1,-4.242999999999995,-4.219999999999999,23.193,17.45,-6.888999999999999,-6.5699999999999985,26.171,19.59,-9.866999999999997,-8.709999999999999,29.479,21.79,-13.174999999999997,-10.909999999999998
6241,scene-0041,1532401506047956,1532401506633106,5914d9b538ea44b9af49ab70cef66eee,75beeb0796404829a640b3a34ddf79a0,"[970.15, 540.524, 0.0]","[961.379, 528.856, 0.858]",14.622,10.0,9.04,0,4,0,6,7.17,16.304000000000002,10.88,-1.6820000000000022,-1.8400000000000016,18.252,12.92,-3.629999999999999,-3.880000000000001,20.546999999999997,15.1,-5.924999999999997,-6.0600000000000005,23.193,17.45,-8.571000000000002,-8.41,26.171,19.59,-11.549,-10.55
6247,scene-0041,1532401506548376,1532401507133736,5914d9b538ea44b9af49ab70cef66eee,844b96e12b024a3785b387e1cacee0ed,"[969.268, 539.467, 0.0]","[961.352, 528.859, 0.862]",13.264000000000001,1.9,7.17,0,6,0,7,5.54,14.622,9.04,-1.3579999999999988,-1.8699999999999992,16.304000000000002,10.88,-3.040000000000001,-3.710000000000001,18.252,12.92,-4.987999999999998,-5.75,20.546999999999997,15.1,-7.282999999999996,-7.93,23.193,17.45,-9.929,-10.28
6253,scene-0041,1532401507048824,1532401507634106,5914d9b538ea44b9af49ab70cef66eee,00f4f521f51b4cba8263eb030580fe17,"[968.546, 538.6, 0.0]","[961.325, 528.862, 0.866]",12.154000000000002,3.9,5.54,0,7,0,6,4.08,13.264000000000001,7.17,-1.1099999999999994,-1.63,14.622,9.04,-2.467999999999998,-3.499999999999999,16.304000000000002,10.88,-4.15,-5.340000000000001,18.252,12.92,-6.097999999999997,-7.38,20.546999999999997,15.1,-8.392999999999995,-9.559999999999999
6265,scene-0041,1532401507448620,1532401508132418,5914d9b538ea44b9af49ab70cef66eee,341b6c6c0fa8496eb36cecd9128598ae,"[968.083, 538.032, 0.0]","[961.299, 528.864, 0.87]",11.437999999999999,3.9,4.08,0,6,0,6,2.75,12.154000000000002,5.54,-0.7160000000000029,-1.46,13.264000000000001,7.17,-1.8260000000000023,-3.09,14.622,9.04,-3.184000000000001,-4.959999999999999,16.304000000000002,10.88,-4.866000000000003,-6.800000000000001,18.252,12.92,-6.814,-8.84
